author_year,Ref#,link,country,quality,total_sample,total_sample_ig,total_sample_cg,total_sample_oi,total_sample_oi2,total_sample_fg,gender,total_sample_fg_ig,total_sample_fg_cg,total_sample_fg_oi,total_sample_fg_oi2,general_attrition,attrition_ig,attrition_cg,attrition_oi,attrition_oi2,age_mean_total,age_sd_total,age_mean_ig,age_sd_ig,age_mean_cg,age_sd_cg,age_mean_oi,age_sd_oi,age_mean_oi2,age_sd_oi2,depression_score,depression_score_b_ig,severity_b_ig,depression_score_b_cg,severity_b_cg,depression_score_b_oi,severity_b_oi,depression_score_b_oi2,severity_b_oi2,depression_score_a_ig,severity_a_ig,depression_score_a_cg,severity_a_cg,depression_score_a_oi,severity_a_oi,depression_score_a_oi2,severtiy_a_oi2,follow_up,freq_adm_ig,freq_adm_cg,freq_adm_oi,freq_oi2,depression_diag_criteria,outcome_method,intervention,control,other_intervention,other_intervention_2
"Rapoport et al, 2009",57,https://drive.google.com/file/d/0B4TReYGK49h_SjhQYm1nSjZCcDg/view ,USA/ Japan,bad,21,10,11,,,10,both,6,4,,,3,,,,,47.67,19.9,,,,,,,,,1,21.3,moderate,26.6,severe,,,,,5.7,absence,6.7,absence,,,,,10,1,1,1,1,2,2,1,0,,
"Rosso, 2012",58,https://goo.gl/9WvtqV,"France, Russia, South Africa and Italy",good,49,27,22,,,31,both,16,15,,,3,2,1,,,,,47.6,12.6,46.6,13.1,,,,,1,27.8,severe,28.4,severe,,,,,12.76,mild,12.3,mild,,,,,1.5,,,,,1,2,7,12,,
"RUhe, 2008",59,https://drive.google.com/file/d/0B9ul69Yl4HIceXdoNnZzZDIzelU/view?usp=sharing ,France,good,92,46,46,,,61,both,32,29,,,19,4,15,,,,,41.9,9.1,42.9,10.3,,,,,1,24.5,severe,25.5,severe,,,,,16.1,moderate,15.3,mild,,,,,4,,,,,1,1,4,0,,
"SambUnaris et al,2014",60,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4047313/ ,China,bad,434,217,217,,,282,both,,,,,99,54,45,,,45,,,,,,,,,,1,35,severe,35.2,severe,,,,,19.7,moderate,23,moderate,,,,,2,,,,,1,2,10,0,,
"Sarris, 2014",61,https://drive.google.com/file/d/0B935j1BXn-wyOUw1VTlXNUx3b0k/view,Holanda,good,102,32,35,35,,44,both,,,,,48,14,19,15,,47.6,13.1,,,,,,,,,1,19.09,moderate,20.63,moderate,20.83,moderate,,,"11,78",mild,"16,63",mild,"14,14",mild,,,3,1,1,,,2,2,38,0,2,
Seidman et al; 2005,62,https://drive.google.com/file/d/0B935j1BXn-wyMkxLSEtfUnZzOUE/view,"France, Finland, Latvia, Lithuania, Sweden, Germany, Estonia, Czech Republic, Bulgaria, India, and South Africa",good,26,,,,,,male,,,,,3,,3,,,46.4,10.8,,,,,,,,,1,,,,,,,,,"14,4",mild,15.2,mild,,,,,1.5,2,2,,,2,2,81,82,,
"Soczynska, 2014",63,https://drive.google.com/file/d/0B935j1BXn-wydXRuNC1JOWd0Yms/view,USA,good,38,19,19,,,19,both,9,10,,,4,2,1,,,,,34.6,9.9,41.3,12.9,,,,,1,23.3,moderate,23.4,moderate,,,,,8.6,mild,10.5,mild,,,,,2,,,,,2,2,12,2,,
"Sthal et al, 2009",64,https://drive.google.com/file/d/0B4TReYGK49h_b3lYVWxodV9qS0k/view,Russia,bad,503,168,166,169,,359,both,144,107,108,,111,39,33,39,,43.2,11.28,43,13.11,43.8,11.96,43.8,11.96,,,1,26.8,severe,26.4,severe,26.8,severe,,,15,mild,15.9,mild,17.1,moderate,,,2,1,1,1,,2,2,11,0,11,
Strik et al; 2000,65,https://drive.google.com/open?id=0B935j1BXn-wyeXVkdndfYTdtNTg,USA,bad,54,27,27,,,16,both,6,10,,,14,5,9,,,,,54.1,11.3,58.7,10.1,,,,,1,22,moderate,21.2,moderate,,,,,"12,35",mild,"14,28",mild,,,,,6.25,1,1,,,2,1,3,0,,
"SU, 2003",66,https://drive.google.com/open?id=0B935j1BXn-wyOHN0cFN4WDd5Q28,Sweden,bad,28,14,14,,,18,both,10,8,,,6,2,4,,,,,35.2,11.6,42.3,10.7,,,,,1,22.5,moderate,22.1,moderate,,,,,8.9,mild,15.7,mild,,,,,2,,,,,2,1,86,0,,
"Tran et al, 2012",67,https://drive.google.com/open?id=0BzQ6MWuB7yNhMnhOSnJicUJlYXc ,USA,bad,63,34,29,,,44,both,25,19,,,33,16,17,,,,,48.2,9.4,49.5,6.9,,,,,1,28.8,severe,30.4,severe,,,,,14.9,mild,18,moderate,,,,,1,,,,,2,2,57,0,,
"Vermeiden, 2013",68,https://goo.gl/fULYLL ,USA,good,88,44,44,,,,male,,,,,6,0,6,,,,,56,9.6,53,9.2,,,,,1,26.1,severe,27.4,severe,,,,,13.8,mild,16.6,mild,,,,,1.75,,,,,1,2,9,18,,
"Wisner, 2006",69,https://drive.google.com/file/d/0B935j1BXn-wySmhLS1JRTmowa2s/view,USA,good,109,55,54,,,109,female,55,54,,,80,40,40,,,,,,,,,,,,,1,,,,,,,,,5.4,absence,4.3,absence,,,,,6,1,1,,,2,2,56,19,,
"Witte et al, 2012",70,https://goo.gl/4wWqUG,Austria,good,23,12,11,,,10,both,4,5,,,11,5,6,,,46,14,49,13,43,14,,,,,1,15.6,mild,20.7,moderate,,,,,10,mild,12.9,mild,,,,,3,0.1428571429,,,,1,2,32,0,,
"Zajecka et al, 2010",71,https://drive.google.com/file/d/0B935j1BXn-wyNlo4dk1nYUtXVTg/view,USA,good,511,170,173,168,,342,both,,,,,111,37,37,37,,43.8,12.22,,,,,,,,,1,26.7,severe,27.1,severe,27.1,severe,,,,,,,,,,,2,1,1,,,2,2,11,0,11,
"Alvarez, 2012",72,https://goo.gl/jx3yFR,"Europe, South Africa",bad,426,108,105,100,113,267,both,70,69,66,62,66,10,18,18,20,43.3,11.5,43.8,11.7,42.0,10.9,42.3,13.1,45.0,10.3,2,34.1,moderate,33.9,moderate,34,moderate,34.2,moderate,13.7,mild,19.4,mild,13.8,mild,13.3,mild,2,1,1,1,1,2,1,14,0,14,9
"Asnis, 2013",73,https://drive.google.com/open?id=0B935j1BXn-wyOWFfZWNSclhqd2s,Holland,bad,713,178,176,179,180,447,both,122,108,111,106,207,48,38,58,63,,,41.6,13.1,41.3,11.3,41,12.8,40.3,11.9,2,36,severe,35.6,severe,36.1,severe,36,severe,21.2,moderate,24,moderate,20.5,moderate,19.5,mild,2,2,2,2,,2,2,10,0,10,10
"Baldwin, 2012",74,https://goo.gl/It1Aad,Iran,good,768,155,148,157,151,522,both,110,103,104,100,119,25,25,35,34,45,,46.0,12.5,43.4,12.5,44.7,13.1,45.2,13.1,2,31.6,moderate,31.7,moderate,32.7,moderate,31.8,moderate,15.4,mild,16.9,mild,16.2,mild,15.5,mild,2,1,1,,,1,2,14,0,14,14
"Barbee et al,2011",75,https://drive.google.com/file/d/0B4TReYGK49h_amVvNjlHQVUzX0U/view ,"United Kingdom, USA, Poland, Austria, Finland, Bulgaria",good,96,48,48,,,66,both,33,33,,,9,4,5,,,42.2,11.9,44.5,12.2,45.8,10.9,,,,,2,27.4,moderate,26.6,moderate,,,,,18.8,mild,17.3,mild,,,,,2.5,1,1,,,1,2,28,0,,
Bot et al; 2010,76,https://drive.google.com/open?id=0B935j1BXn-wyb0JxUmd6TDhubDA,USA,good,25,13,12,,,13,both,8,5,,,1,1,0,,,,,53.1,13.8,55,8.6,,,,,2,26.3,moderate,26.4,moderate,,,,,"14,0",mild,"11,6",mild,,,,,3,,,,,1,2,39,0,,
"Brecht et al, 2007",77,https://drive.google.com/file/d/0B4TReYGK49h_a2lUeWpoV3VuV00/view,Netherlands,bad,327,162,165,,,241,both,123,118,,,78,41,37,,,,,48.1,,52.3,,,,,,2,"29,9 ",moderate,"29,2",moderate,,,,,14,mild,19,mild,,,,,2.5,1,2,,,2,2,7,0,,
"Brecht et al, 2011",78,https://drive.google.com/file/d/0B4TReYGK49h_NTBCMy1icW11Qm8/view,USA,good,338,171,167,,,251,both,133,118,,,54,31,23,,,,,43.9,12.7,45.7,13.9,,,,,2,36,severe,36.1,moderate,,,,,16.1,mild,16,mild,,,,,2,,,,,2,2,7,7,,
"Colonna, 2005",79,https://drive.google.com/open?id=0B935j1BXn-wySWNzbXpwVC0xcXM ,USA,good,357,175,182,,,265,both,127,138,,,60,21,39,,,,,46,12,46,11,,,,,2,29.8,moderate,29.8,moderate,,,,,8.3,mild,9.3,mild,,,,,6,,,,,1,2,2,1,,
El-Khalili et al; 2010,80,https://drive.google.com/open?id=0B935j1BXn-wyX0ZzSDFDMm12Z1U,USA,bad,446,148,148,150,,313,both,109,98,106,,102,34,23,45,,,,45.9,11,46.2,10.9,44.3,11.3,,,2,"24,0",moderate,"24,2",moderate,"24,0",moderate,,,"11,37",mild,"13,4",mild,"10,47",mild,,,2,2,2,,,1,2,24,0,24,
"Fava M. et al, 2012",81,https://goo.gl/bWaqsg ,China,good,221,54,167,,,145,both,37,108,,,18,11,7,,,,,45.36,10.35,45.06,11.34,,,,,2,30.69,moderate,31.2,moderate,,,,,21,moderate,22.97,moderate,,,,,2,,,,,1,2,27,0,,
"Gaynor, 2011",82,https://goo.gl/NQ9Ayx,Switzerland,good,528,262,266,,,364,both,184,180,,,132,70,62,,,45.7,13,46.2,13,45.7,13,,,,,2,30.4,moderate,29.9,moderate,,,,,13.63,mild,7.71,mild,,,,,2,,,,,2,2,7,0,,
"Gaynor, 2011",83,https://goo.gl/MygfXm ,USA,good,527,261,266,,,361,both,183,178,,,101,49,52,,,,,45.2,12.5,44.2,12.4,,,,,2,30.1,moderate,29.8,moderate,,,,,15.2,mild,19.1,mild,,,,,2,1,1,,,2,2,7,0,,
"Gommoll, 2014",84,https://drive.google.com/open?id=0BzQ6MWuB7yNha1FWY3k5blgwMVU ,USA,good,357,175,182,,,215,both,99,116,,,73,40,33,,,,,42.8,12.9,43.7,13.3,,,,,2,35.9,severe,35.5,severe,,,,,20.2,moderate,21.3,moderate,,,,,2,0,0,,,2,2,10,0,,
"Hewett et al, 2009",85,https://drive.google.com/file/d/0B935j1BXn-wyM3BXM2h2d0tDX3c/view ,USA,bad,588,203,187,198,,385,both,125,125,135,,131,44,41,46,,,,45.6,11.76,44.5,10.79,44.1,11.54,,,2,30.6,moderate,30.6,moderate,30.1,moderate,,,17.4,mild,15.9,mild,13.1,mild,,,2,2,2,2,,1,2,12,0,9,
"Hewett et al., 2009",86,https://drive.google.com/file/d/0B935j1BXn-wyTDFTajNfUHp6LUU/view,USA,bad,576,187,197,187,,408,both,138,142,128,,86,33,30,23,,,,41.8,11.68,41.8,11.56,42.7,11.48,,,2,30.4,moderate,30.4,moderate,30,moderate,,,"14,4",mild,"16,9",mild,"12,9",mild,,,2,1,1,1,,2,2,12,0,9,
"HsU et al, 2011",87,https://drive.google.com/file/d/0B935j1BXn-wyVlJzc3BKTkJ5d1k/view,USA,good,51,25,26,,,25,both,11,14,,,9,4,5,,,,,43.4,11.4,38,13.8,,,,,2,36.6,severe,38.2,severe,,,,,10.8,mild,16.7,mild,,,,,1.5,1,1,1,,2,1,1,56,,
"Ibrahim et al, 2012",88,https://goo.gl/Cac3kf,Germany,good,42,21,21,,,16,both,8,8,,,15,7,8,,,46.1,23.8,47.2,13.3,47.2,13,,,,,2,32.7,moderate,32.7,moderate,,,,,27,moderate,24,moderate,,,,,1,2,2,2,,1,2,76,77,,
"Kamijima et al, 2013",89,https://drive.google.com/open?id=0BzQ6MWuB7yNhMWUyUFBaU3B3cEE,USA,good,586,197,195,194,,248,both,75,80,93,,46,17,12,17,,,,39.2,9.1,38.7,9.2,38.1,9.6,,,2,25.2,moderate,25.5,moderate,25.3,moderate,,,14.7,mild,18.1,mild,15.7,mild,,,1.5,,,,,2,2,27,0,27,
"Khan, 2007",90,https://drive.google.com/open?id=0B935j1BXn-wyb0QxTnViaElmQ2c,USA,bad,278,138,140,,,166,both,85,81,,,59,41,18,,,,,43,13.4,41.8,12.7,,,,,2,36,severe,31,moderate,,,,,15.3,mild,18,mild,,,,,2,2,2,,,1,2,2,7,,
"Kornstein, 2006",91,https://drive.google.com/file/d/0B4TReYGK49h_cV9wbFdXbGFCZHc/view,Taiwan,good,139,73,69,,,110,both,58,52,,,53,23,30,,,,,"42,0","11,3","43,7","12,4",,,,,2,4.7,absence,4.9,absence,,,,,0.1,absence,0.3,absence,,,,,,1,1,1,,2,2,2,0,,
"Koshino, 2013",92,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3770623/,"China, Korea, Taiwan and Brazil",bad,564,190,186,188,,304,both,98,101,105,,4,0,1,3,,37.1,10.84,36,10.42,37.9,11.09,37.5,10.96,,,2,31.8,moderate,31.9,moderate,32.1,moderate,,,17.4,mild,18,mild,19.2,mild,,,2,,,,,2,1,12,0,12,
"MarcUs et al, 2008",93,https://drive.google.com/open?id=0B935j1BXn-wyVGs0bHVUOUdEQlU,Iran,bad,381,191,190,,,254,both,126,128,,,57,29,28,,,,,44.6,11,44.4,10.7,,,,,2,25.2,moderate,27,moderate,,,,,16.7,mild,21.3,moderate,,,,,1.5,,,,,1,2,27,0,,
"Mathews,2015",94,https://drive.google.com/open?id=0BzQ6MWuB7yNhZkJ3REV5UXhhcFE ,Canada,good,1162,292,290,291,289,462,both,114,118,108,122,340,89,71,98,82,,,41.7,12.7,42,13,40.8,13.2,42.6,12.6,2,31,moderate,31.3,moderate,30.8,moderate,30.1,moderate,13.8,mild,16.1,mild,13.2,mild,13.5,mild,2.5,1,1,,,1,2,17,0,17,1
"McIntyre, 2014",95,https://drive.google.com/open?id=0BzQ6MWuB7yNhNlFvOFFtY1h4Smc ,USA and Israel,bad,598,195,196,207,,396,both,134,129,133,,22,5,8,9,,,,45.4,12.2,45.6,12.1,46.1,11.8,,,2,31.6,moderate,31.3,moderate,31.7,moderate,,,16,mild,20.4,moderate,14.1,mild,,,2,1,1,,,1,2,14,0,14,
"Michael Liebowitz, 2010",96,https://drive.google.com/file/d/0B935j1BXn-wyVkpkN05wYWFnOUk/view ,Japan,good,776,391,385,,,509,both,254,255,,,408,175,233,,,,,45.4,11.2,43.8,11.5,,,,,2,5.8,absence,5.3,absence,,,,,0.15,absence,2.03,absence,,,,,13,1,1,1,,1,2,24,0,,
Montgomery et al; 2013,97,https://drive.google.com/file/d/0B935j1BXn-wyS1VRYzNJaVRiSFE/view,USA,good,563,282,281,,,373,both,188,185,,,206,91,115,,,,,45,,44,,,,,,2," 30,9",moderate,"30,5",moderate,,,,,"12,2",mild,16,mild,,,,,2.5,,,,,2,2,10,0,,
"Montgomery, 2014",98,https://drive.google.com/open?id=0BzQ6MWuB7yNhRS1wNjNaREYwcGs ,USA,bad,495,253,242,,,370,both,195,175,,,116,53,63,,,46,,47,12,46,12,,,,,2,29.1,moderate,28.7,moderate,,,,,12.6,mild,14.3,mild,,,,,3,1,1,,,2,2,14,11,,
"Moore, 2005",99,https://drive.google.com/file/d/0B4TReYGK49h_VDg0QTJFQTlmdzg/view,"Finland, Canada and South Africa",bad,280,138,142,,,187,both,99,88,,,21,6,15,,,,,44.1,10.9,46.2,11.1,,,,,2,36.3,severe,35.7,severe,,,,,"13,9",mild,"15,4",mild,,,,,2,2,2,,,2,1,2,1,,
"MUrray et al, 2005",100,https://drive.google.com/file/d/0B4TReYGK49h_ZXY2VmZySFRiUG8/view,USA,bad,123,62,61,,,64,both,30,34,,,55,25,30,,,,,70.7,9.7,70.7,10.1,,,,,2,20.8,moderate,22.6,moderate,,,,,11.5,mild,12.6,mild,,,,,6.5,1,1,,,1,2,56,0,,
"Nations,2015",101,https://drive.google.com/open?id=0BzQ6MWuB7yNhVldaaEZyeXhmLUE ,France,good,24,16,8,,,6,both,5,1,,,2,2,0,,,,,36.7,10.3,34.1,12.7,,,,,2,31.6,moderate,29.6,moderate,,,,,17.8,mild,18.7,mild,,,,,1,,,,,1,2,58,0,,
"Ravindran et al, 2008",102,https://drive.google.com/file/d/0B9ul69Yl4HIcMHBwZkVkZFJsZVk/view?usp=sharing ,Canada,bad,145,73,72,,,94,both,47,47,,,15,11,4,,,,,45.6,10.8,41.9,10.9,,,,,2,26.4,moderate,27,moderate,,,,,16.02,mild,16.17,mild,,,,,1.25,2,2,,,1,2,50,0,,
Reeves et al; 2008,103,https://drive.google.com/file/d/0B4TReYGK49h_ZGI3UFgta0JOVTQ/view,USA,bad,24,12,11,,,16,both,11,5,,,5,1,4,,,,,46.5,12.1,41.3,12.6,,,,,2,36.42,severe,35,severe,,,,,"13,52",mild,"20,56",moderate,,,,,2,1,1,,,2,2,26,0,,
"Santos, 2008",104,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2446484/ ,USA,bad,34,17,17,,,25,both,14,11,,,7,3,4,,,,,26,,29,,,,,,2,32.3,moderate,28.4,moderate,,,,,20.7,moderate,22.8,moderate,,,,,2,1,1,1,,1,2,28,0,,
"Shelton et al, 2005",105,https://drive.google.com/open?id=0B935j1BXn-wyLVBNN3F3UFcwMzg,USA,bad,500,146,68,144,142,339,both,97,46,93,103,98,30,8,28,32,,,42.5,10.7,41.5,10.1,43.4,11,41.7,11,2,28.5,moderate,28.8,moderate,28.4,moderate,28.4,moderate,"19,79",mild,"21,35",moderate,"21,45",moderate,"18,89",mild,2,2,2,2,,2,2,84,19,23,3
"Smith et al, 2013",106,https://goo.gl/zCJB1V,USA,bad,31,15,16,,,19,both,8,11,,,5,4,1,,,,,54.8,6.17,49.75,11.68,,,,,2,27.47,moderate,27.38,moderate,,,,,20.34,moderate,20.13,moderate,,,,,2,1,1,1,,1,2,30,0,,
"Wade, 2007",107,https://drive.google.com/open?id=0B935j1BXn-wyN0Vrb0JLbU1BSDA ,USA,bad,295,144,151,,,212,both,106,106,,,68,31,37,,,43.3,11.6,,,,,,,,,2,32.5,moderate,32.1,moderate,,,,,11,mild,9.8,mild,,,,,6,1,1,,,1,2,2,7,,
"Wang, 2014",108,http://www.ncbi.nlm.nih.gov.sci-hub.org/pmc/articles/PMC3916085/,Iran,good,459,154,153,152,,328,both,110,103,115,,236,73,80,83,,,,40.1,11.6,39.7,11.1,40.3,12.5,,,2,32.2,moderate,31.6,moderate,32,moderate,,,14.99,mild,15.99,mild,15.27,mild,,,2.5,,,,,2,2,24,0,2,
"Wang, 2014",109,https://drive.google.com/open?id=0B935j1BXn-wydmswajYtNGtRbEU ,USA,good,471,157,157,157,,328,both,110,103,115,,129,50,40,39,,,,40.1,11.6,39.7,11.1,40.3,12.5,,,2,32.2,moderate,31.6,moderate,32,moderate,,,12.8,mild,13.3,mild,12.2,mild,,,2.5,1,1,1,,2,2,24,0,2,
"YevtUshenko et al, 2007",110,https://drive.google.com/file/d/0B935j1BXn-wyZUYwMEphX2Z1T00/view ,Canada,good,322,108,106,108,,188,both,66,61,61,,8,1,5,2,,,,35.19,0.63,34.79,0.62,35.12,0.63,,,2,36.91,severe,37.55,severe,37.6,severe,,,30.33,moderate,20.87,moderate,26.34,moderate,,,1.5,1,1,1,1,1,2,2,1,1,
"Zarate et al, 2006",111,http://ajp.psychiatryonline.org/doi/full/10.1176/appi.ajp.163.1.153 ,USA,bad,32,16,16,,,,male,9,7,,,6,3,3,,,46.6,10.8,47.1,12.3,46.1,9.4,,,,,2,30,moderate,31.9,moderate,,,,,26.1,moderate,23.9,moderate,,,,,2,,,,,1,2,30,0,,
"Zarate et al, 2013",112,https://goo.gl/899iYu,Japan and South Korea,bad,22,12,10,,,12,both,,,,,1,1,0,,,51.5,10.1,,,,,,,,,2,34,moderate,34,moderate,,,,,30,moderate,30,moderate,,,,,0.25,1,1,,,2,2,54,0,,
"GrUnebaUm et al, 2011",113,https://drive.google.com/file/d/0B9ul69Yl4HIcd3dOSWpzQjFwYTQ/view?usp=sharing ,USA,good,78,38,36,,,42,both,21,21,,,53,29,24,,,,,37.9,11.9,35.2,12.8,,,,,3,17.6,,16.9,,,,,,9.5,,9.3,,,,,,6,1,1,,,2,2,12,4,,
Jefferson et al; 2006,114,https://drive.google.com/file/d/0B4TReYGK49h_VjFWV2RVOG53T3M/view,Iran,bad,274,135,139,,,185,both,89,96,,,61,32,29,,,,,40,,39.8,,,,,,3,45.9,,46,,,,,,"24,6",,"28,4",,,,,,2,2,2,,,1,1,12,0,,
"Madhoo et al, 2014",115,https://drive.google.com/open?id=0BzQ6MWuB7yNhdlNsZnRZWGhXSWs ,Germany,bad,143,71,72,,,99,both,51,48,,,24,11,13,,,,,41.9,9.79,39.5,10.5,,,,,3,12.7,,11.8,,,,,,5.6,,8.9,,,,,,2,1,1,1,,1,2,49,0,,
"Ranjbar et al, 2013",116,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3796297/ ,USA,good,44,22,22,,,34,both,20,14,,,6,1,5,,,,,37,9,37.5,7.5,,,,,3,30,,27,,,,,,15.5,,22,,,,,,3,1,1,1,,1,1,79,80,,
"Trivedi et al, 2006",117,https://drive.google.com/file/d/0B9ul69Yl4HIccDVmSG1HTG1vckU/view?usp=sharing ,Australia and Europe countries ,good,565,279,286,,,332,both,172,160,,,94,35,59,,,41.1,12.7,40.8,12.9,41.5,12.6,,,,,3,11.2,,11.5,,,,,,25.3,,17.1,,,,,,1.5,,,,,1,2,12,20,,